categoria,ativo,dose,trocater,preco_R$
Não hormonal,Tadalafil,25 mg,3.5 mm,197.0
Não hormonal,Tadalafil,50 mg,3.5 mm,283.4
Não hormonal,Tadalafil,200 mg,4.5 mm,396.8
Não hormonal,NAD,100 mg,3.5 mm,219.5
Não hormonal,NAD,200 mg,4.5 mm,234.8
Não hormonal,NAD,400 mg,5.0 mm,393.2
Não hormonal,Metformina,100 mg,3.5 mm,126.8
Não hormonal,Metformina,200 mg,4.5 mm,159.2
Não hormonal,Anastrozol,5 mg,3.5 mm,169.1
Não hormonal,Anastrozol,10 mg,3.5 mm,258.2
Não hormonal,Coenzima Q10,100 mg,4.5 mm,310.4
Hormonal,Testosterona,25 mg,3.5 mm,109.7
Hormonal,Testosterona,50 mg,3.5 mm,130.4
Hormonal,Testosterona,75 mg,3.5 mm,175.4
Hormonal,Testosterona,100 mg,3.5 mm,183.5
Hormonal,Testosterona,150 mg,4.5 mm,292.4
Hormonal,Testosterona,200 mg,4.5 mm,360.8
Hormonal,Testosterona,300 mg,5.0 mm,487.7
Hormonal,Testosterona,400 mg,5.0 mm,642.5
Hormonal,Progesterona,50 mg,3.5 mm,148.4
Hormonal,Progesterona,100 mg,4.5 mm,186.2
Hormonal,Oxandrolona,25 mg,3.5 mm,244.7
Hormonal,Oxandrolona,50 mg,3.5 mm,406.7
Hormonal,Oxandrolona,100 mg,3.5 mm,537.2
Hormonal,Oxandrolona,200 mg,5.0 mm,861.2
Hormonal,Gestrinona,25 mg,3.5 mm,344.2
Hormonal,Gestrinona,35 mg,3.5 mm,416.6
Hormonal,Gestrinona,40 mg,3.5 mm,464.3
Hormonal,Gestrinona,50 mg,3.5 mm,579.5
Hormonal,Gestrinona,85 mg,3.5 mm,890.0
Hormonal,Gestrinona,100 mg,3.5 mm,1076.3
Hormonal,Estriol,75 mg,3.5 mm,237.5
Hormonal,Estradiol,10 mg,3.5 mm,161.0
Hormonal,Estradiol,12.5 mg,3.5 mm,161.0
Hormonal,Estradiol,15 mg,3.5 mm,161.0
Hormonal,Estradiol,20 mg,3.5 mm,180.7
Hormonal,Estradiol,25 mg,3.5 mm,196.1
Hormonal,Estradiol,35 mg,3.5 mm,228.5
Hormonal,Drospirenona,50 mg,3.5 mm,233.9
Hormonal,Drospirenona,100 mg,4.5 mm,370.6
Hormonal,Ocitocina,500 UI,3.5 mm,380.6
Acessório,Aplicador/Trocater descartável,-,3.5 mm,139.4
Acessório,Aplicador/Trocater descartável,-,4.5 mm,139.4
Acessório,Aplicador/Trocater descartável,-,5.0 mm,139.4
Acessório,Aplicador/Trocater reutilizável (kit 3 peças),-,3.5 mm,369.8
Acessório,Aplicador/Trocater reutilizável,-,4.5 mm,230.3
Acessório,Aplicador/Trocater reutilizável,-,5.0 mm,230.3
Acessório,Cânula anestésica,-,3.5 mm,152.0
Acessório,Maleta de Pellets,-,-,619.1
